trade_id,date,entry_time,exit_time,direction,signal_type,entry_price,exit_price,vwap_price,quantity,rvol,pnl,pnl_percentage,duration_minutes,result,vwap_deviation
39,2024-03-04,10:55,11:39,LONG,Price Below VWAP,184.33,187.27,187.01,100,2.5,294.18,14.71,44,WIN,0.0
40,2024-03-05,10:15,10:21,LONG,Price Below VWAP,184.17,181.65,186.2,100,1.36,-251.22,-12.56,6,LOSS,-1.02
41,2024-03-05,11:35,11:46,LONG,Price Below VWAP,187.64,185.0,189.94,100,1.77,-264.06,-13.2,11,LOSS,0.97
42,2024-03-07,10:35,10:54,LONG,Price Below VWAP,189.59,185.32,195.85,100,1.05,-426.75,-21.34,19,LOSS,2.62
43,2024-03-11,09:25,09:31,LONG,Price Below VWAP,186.78,188.19,187.95,100,1.23,140.8,7.04,6,WIN,-1.06
44,2024-03-12,10:45,11:17,LONG,Price Below VWAP,185.05,186.08,185.92,100,1.69,103.93,5.2,32,WIN,-1.12
45,2024-03-12,11:35,12:07,LONG,Price Below VWAP,186.46,185.49,185.37,100,1.0,-96.92,-4.85,32,WIN,-1.41
46,2024-03-13,14:55,15:23,LONG,Price Below VWAP,184.79,185.78,185.75,100,1.86,98.9,4.95,28,WIN,-0.53
47,2024-03-13,15:25,15:56,LONG,Price Below VWAP,185.46,184.06,183.78,100,1.65,-140.63,-7.03,31,WIN,-1.58
48,2024-03-14,14:15,14:31,LONG,Price Below VWAP,184.59,185.68,185.37,100,2.23,109.24,5.46,16,WIN,-1.05
49,2024-03-15,14:05,14:38,LONG,Price Below VWAP,186.37,188.73,188.6,100,1.88,236.0,11.8,33,WIN,-0.34
50,2024-03-19,15:15,15:59,LONG,Price Below VWAP,187.1,187.52,187.4,100,1.67,41.94,2.1,44,WIN,-0.82
51,2024-03-20,10:55,11:39,LONG,Price Below VWAP,187.22,189.64,189.19,100,2.7,242.63,12.13,44,WIN,-1.01
52,2024-03-20,09:35,10:04,LONG,Price Below VWAP,189.98,193.74,193.48,100,1.99,375.89,18.79,29,WIN,1.23
53,2024-03-22,09:05,09:45,LONG,Price Below VWAP,192.36,189.84,194.38,100,1.5,-252.71,-12.64,40,LOSS,0.19
54,2024-03-25,13:15,13:58,LONG,Price Below VWAP,193.08,191.54,192.79,100,1.63,-153.75,-7.69,43,LOSS,-1.58
55,2024-03-25,13:45,14:00,LONG,Price Below VWAP,195.44,198.64,198.35,100,2.49,320.47,16.02,15,WIN,1.26
56,2024-03-26,11:15,11:51,LONG,Price Below VWAP,193.95,195.09,194.96,100,2.25,114.21,5.71,36,WIN,-0.9
57,2024-04-03,14:05,14:36,LONG,Price Below VWAP,196.67,201.21,201.02,100,1.66,454.09,22.7,31,WIN,0.7
58,2024-04-04,09:15,09:21,LONG,Price Below VWAP,196.06,198.01,197.89,100,2.71,194.48,9.72,6,WIN,-0.53
59,2024-04-05,13:35,14:06,LONG,Price Below VWAP,194.83,200.33,199.98,100,2.08,550.34,27.52,31,WIN,1.4
60,2024-04-08,14:15,14:44,SHORT,Price Above VWAP,198.25,190.66,190.85,100,1.67,758.99,37.95,29,WIN,-2.96
61,2024-04-09,13:55,14:25,LONG,Price Below VWAP,194.11,199.3,199.12,100,2.18,519.68,25.98,30,WIN,0.86
62,2024-04-10,09:55,10:16,LONG,Price Below VWAP,198.32,198.71,198.43,100,1.76,38.74,1.94,21,WIN,-0.24
63,2024-04-12,13:25,14:04,LONG,Price Below VWAP,200.4,201.2,200.98,100,1.1,80.41,4.02,39,WIN,0.04
64,2024-04-15,10:55,11:01,LONG,Price Below VWAP,197.41,202.74,202.44,100,2.9,533.55,26.68,6,WIN,0.15
65,2024-04-15,10:05,10:39,LONG,Price Below VWAP,200.23,200.9,200.52,100,2.4,67.53,3.38,34,WIN,-0.8
66,2024-04-16,10:45,11:00,LONG,Price Below VWAP,202.35,208.45,208.35,100,2.93,610.5,30.53,15,WIN,2.4
67,2024-04-19,15:35,15:46,LONG,Price Below VWAP,203.37,203.08,202.92,100,2.39,-29.17,-1.46,11,WIN,-1.89
68,2024-04-22,15:45,15:52,LONG,Price Below VWAP,204.83,203.91,203.88,100,1.69,-91.82,-4.59,7,WIN,-1.96
69,2024-04-23,11:05,11:33,LONG,Price Below VWAP,206.71,203.39,206.32,100,2.27,-331.49,-16.57,28,LOSS,-1.37
70,2024-04-24,15:15,15:37,LONG,Price Below VWAP,207.41,203.63,207.02,100,2.23,-377.64,-18.88,22,LOSS,-0.64
71,2024-04-24,14:35,14:45,SHORT,Price Above VWAP,211.28,202.48,202.65,100,1.56,879.62,43.98,10,WIN,-2.74
72,2024-04-25,13:45,14:10,LONG,Price Below VWAP,205.78,209.73,209.59,100,1.36,395.43,19.77,25,WIN,1.01
73,2024-04-29,11:25,11:35,LONG,Price Below VWAP,206.78,212.18,211.71,100,1.48,540.62,27.03,10,WIN,1.7
74,2024-04-30,14:15,14:21,LONG,Price Below VWAP,207.58,210.1,210.03,100,1.19,252.05,12.6,6,WIN,0.23
75,2024-05-02,11:55,12:21,LONG,Price Below VWAP,210.02,208.9,208.84,100,1.7,-112.8,-5.64,26,WIN,-1.48
76,2024-05-03,11:25,12:04,LONG,Price Below VWAP,210.7,216.25,215.86,100,2.9,554.83,27.74,39,WIN,1.12
77,2024-05-06,10:15,10:26,LONG,Price Below VWAP,213.2,214.96,214.73,100,2.67,175.51,8.78,11,WIN,-0.09
78,2024-05-08,11:05,11:13,SHORT,Price Above VWAP,220.32,213.29,213.45,100,2.11,702.15,35.11,8,WIN,-2.02
79,2024-05-09,10:55,11:28,LONG,Price Below VWAP,217.55,215.38,221.83,100,1.68,-216.88,-10.84,33,LOSS,1.18
80,2024-05-10,11:35,12:16,LONG,Price Below VWAP,217.72,219.24,219.0,100,2.26,152.7,7.64,41,WIN,-0.76
81,2024-05-10,09:15,09:46,LONG,Price Below VWAP,216.88,223.47,223.19,100,2.21,659.15,32.96,31,WIN,1.14
82,2024-05-13,10:45,11:27,LONG,Price Below VWAP,221.29,222.5,222.12,100,2.98,121.52,6.08,42,WIN,-0.03
83,2024-05-14,14:05,14:15,LONG,Price Below VWAP,222.12,218.59,219.39,100,1.31,-353.23,-17.66,10,LOSS,-1.9
84,2024-05-20,14:35,15:09,LONG,Price Below VWAP,227.3,232.44,232.13,100,1.14,514.85,25.74,34,WIN,1.0
85,2024-05-23,14:55,15:17,LONG,Price Below VWAP,232.41,235.51,235.27,100,2.65,310.14,15.51,22,WIN,0.33
86,2024-05-29,15:45,16:09,LONG,Price Below VWAP,235.14,241.33,241.15,100,2.4,619.28,30.96,24,WIN,0.84
87,2024-05-30,14:45,15:06,LONG,Price Below VWAP,237.78,239.36,239.21,100,1.05,157.32,7.87,21,WIN,-0.61
88,2024-05-30,10:55,11:17,LONG,Price Below VWAP,236.99,234.77,242.01,100,2.15,-222.5,-11.13,22,LOSS,0.55
89,2024-05-31,10:35,11:11,LONG,Price Below VWAP,239.49,238.71,238.34,100,2.94,-78.14,-3.91,36,WIN,-1.61
90,2024-06-03,13:25,13:56,LONG,Price Below VWAP,241.11,244.01,243.71,100,2.39,289.84,14.49,31,WIN,-0.03
91,2024-06-05,14:05,14:42,LONG,Price Below VWAP,243.63,244.17,243.8,100,2.65,53.91,2.7,37,WIN,-1.25
92,2024-06-05,09:55,10:33,LONG,Price Below VWAP,242.99,246.33,246.19,100,1.72,334.36,16.72,38,WIN,-0.28
93,2024-06-06,15:35,16:11,LONG,Price Below VWAP,246.3,248.97,248.6,100,1.24,267.11,13.36,36,WIN,0.06
94,2024-06-07,14:15,14:46,LONG,Price Below VWAP,247.26,248.37,248.22,100,1.19,110.74,5.54,31,WIN,-0.71
95,2024-06-07,09:35,09:57,LONG,Price Below VWAP,247.58,255.46,255.11,100,1.83,788.18,39.41,22,WIN,2.05
96,2024-06-10,13:15,13:58,LONG,Price Below VWAP,249.2,250.52,250.25,100,2.02,132.3,6.61,43,WIN,-0.51
97,2024-06-11,09:25,09:30,LONG,Price Below VWAP,252.51,254.43,254.15,100,1.57,191.39,9.57,5,WIN,0.42
98,2024-06-11,11:45,12:18,LONG,Price Below VWAP,251.68,248.8,250.18,100,2.08,-288.56,-14.43,33,LOSS,-1.15
99,2024-06-12,14:45,15:14,SHORT,Price Above VWAP,259.76,264.61,248.28,100,1.47,-484.89,-24.24,29,LOSS,-2.5
100,2024-06-13,09:25,09:54,LONG,Price Below VWAP,253.18,251.36,255.85,100,2.98,-182.02,-9.1,29,LOSS,-0.13
101,2024-06-14,15:15,15:48,LONG,Price Below VWAP,254.64,256.72,256.68,100,1.2,207.99,10.4,33,WIN,-0.41
102,2024-06-17,09:55,10:04,LONG,Price Below VWAP,254.56,248.71,255.08,100,1.94,-584.51,-29.23,9,LOSS,-1.63
103,2024-06-17,11:25,12:04,LONG,Price Below VWAP,257.09,256.66,256.49,100,1.76,-43.42,-2.17,39,WIN,-1.08
104,2024-06-18,15:35,16:20,LONG,Price Below VWAP,257.46,266.24,266.0,100,2.37,877.67,43.88,45,WIN,1.98
105,2024-06-24,15:55,16:03,LONG,Price Below VWAP,264.87,270.36,270.06,100,1.59,549.11,27.46,8,WIN,1.13
106,2024-06-24,11:35,11:51,LONG,Price Below VWAP,262.83,266.74,266.34,100,1.34,390.24,19.51,16,WIN,-0.26
107,2024-06-26,14:55,15:16,LONG,Price Below VWAP,263.92,270.83,270.66,100,2.33,690.6,34.53,21,WIN,0.19
108,2024-06-26,13:25,13:52,LONG,Price Below VWAP,267.25,271.09,270.89,100,2.98,384.29,19.21,27,WIN,0.28
109,2024-06-28,15:25,15:54,LONG,Price Below VWAP,269.65,265.22,269.89,100,2.14,-443.19,-22.16,29,LOSS,-1.23
110,2024-06-28,14:25,14:55,LONG,Price Below VWAP,268.82,264.84,271.69,100,1.55,-398.07,-19.9,30,LOSS,-0.57
